City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Mataura,-46.1927,168.8643,59.49,99,48,2.1,NZ,scattered clouds
1,Newark,40.7357,-74.1724,22.91,54,20,12.66,US,few clouds
2,Jati,24.3539,68.2671,71.2,73,0,11.92,PK,clear sky
3,Punta Arenas,-53.15,-70.9167,53.71,50,75,28.77,CL,broken clouds
4,Fort Wellington,6.4,-57.6,83.35,61,48,7.7,GY,scattered clouds
5,Jamestown,42.097,-79.2353,16.52,47,72,5.99,US,broken clouds
6,Hermanus,-34.4187,19.2345,92.89,60,32,20.8,ZA,scattered clouds
7,Kapaa,22.0752,-159.319,71.92,78,20,14.97,US,few clouds
8,Indiaroba,-11.5192,-37.5117,88.36,55,74,9.15,BR,broken clouds
9,Ribeira Grande,38.5167,-28.7,61.2,59,20,20.71,PT,few clouds
10,Devils Lake,48.1128,-98.8651,12.31,87,100,8.99,US,overcast clouds
11,Kholm,59.2667,32.85,25.61,90,100,9.98,RU,overcast clouds
12,Qaanaaq,77.484,-69.3632,-7.1,72,100,8.84,GL,overcast clouds
13,Mehamn,71.0357,27.8492,30.38,69,75,19.57,NO,broken clouds
14,Kaitangata,-46.2817,169.8464,54.54,96,57,2.37,NZ,broken clouds
15,Ternate,0.8,127.4,80.31,80,100,7.72,ID,overcast clouds
16,Salalah,17.0151,54.0924,75.29,69,0,4.61,OM,clear sky
17,Meulaboh,4.1363,96.1285,79.52,78,92,5.19,ID,overcast clouds
18,Tarnogskiy Gorodok,60.4997,43.5761,8.06,98,81,5.41,RU,broken clouds
19,Avarua,-21.2078,-159.775,78.85,83,20,10.36,CK,few clouds
20,Loznica,44.5342,19.2242,51.26,65,86,4.68,RS,overcast clouds
21,Lebu,-37.6167,-73.65,63.39,73,75,14.65,CL,broken clouds
22,San Juan,-31.5375,-68.5364,89.65,30,0,6.06,AR,clear sky
23,Winnemucca,40.973,-117.7357,17.65,73,0,3.44,US,clear sky
24,East London,-33.0153,27.9116,77.83,77,50,18.5,ZA,scattered clouds
25,Te Anau,-45.4167,167.7167,53.89,94,12,0.51,NZ,few clouds
26,Albany,42.6001,-73.9662,17.94,39,32,8.01,US,scattered clouds
27,Atuona,-9.8,-139.0333,77.16,78,6,10.8,PF,clear sky
28,Mountain Home,43.133,-115.6912,14.74,76,63,5.61,US,broken clouds
29,Pisco,-13.7,-76.2167,75.02,73,0,11.5,PE,clear sky
30,Puerto Ayora,-0.7393,-90.3518,82.36,73,100,8.88,EC,overcast clouds
31,Troitsko-Pechorsk,62.7084,56.1964,5.76,98,100,4.34,RU,overcast clouds
32,Sao Joao Da Barra,-21.6403,-41.0511,89.69,71,82,6.78,BR,broken clouds
33,Comodoro Rivadavia,-45.8667,-67.5,60.66,25,75,27.63,AR,light intensity shower rain
34,Wana,32.2989,69.5725,48.88,51,6,2.98,PK,clear sky
35,Zhigansk,66.7697,123.3711,-32.76,100,97,3.8,RU,overcast clouds
36,Kodiak,57.79,-152.4072,24.31,68,20,13.8,US,few clouds
37,Castro,-24.7911,-50.0119,64.87,97,100,5.91,BR,overcast clouds
38,Namibe,-15.1961,12.1522,74.34,71,98,11.16,AO,overcast clouds
39,Dingle,10.9995,122.6711,76.6,90,88,1.74,PH,overcast clouds
40,Marawi,7.9986,124.2928,67.64,93,80,1.45,PH,broken clouds
41,Katsuura,35.1333,140.3,41.18,63,100,9.19,JP,overcast clouds
42,Pumiao,22.75,108.4833,49.42,86,98,3.24,CN,overcast clouds
43,Urozhaynoye,44.7883,44.9228,33.4,83,84,5.68,RU,broken clouds
44,Koboko,3.4136,30.9599,79.56,24,48,4.79,UG,scattered clouds
45,Sangar,63.9242,127.4739,-33.9,99,25,2.77,RU,scattered clouds
46,Sola,-13.8833,167.55,80.01,83,100,18.86,VU,heavy intensity rain
47,Sibolga,1.7427,98.7792,76.59,91,98,3.44,ID,overcast clouds
48,Ushuaia,-54.8,-68.3,47.86,66,75,23.02,AR,broken clouds
49,Avigliano,40.7329,15.72,36.54,78,5,6.26,IT,clear sky
50,Fort Frances,48.5999,-93.4003,3.06,86,0,0.0,CA,clear sky
51,Grand Gaube,-20.0064,57.6608,81.37,72,36,7.0,MU,scattered clouds
52,Tura,25.5198,90.2201,53.22,55,9,2.75,IN,clear sky
53,Djibo,14.1022,-1.6306,89.35,7,10,19.86,BF,clear sky
54,Otaru,43.1894,141.0022,10.58,66,100,16.24,JP,light snow
55,Verkhnevilyuysk,63.4453,120.3167,-20.85,99,58,4.36,RU,broken clouds
