City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Fort Wellington,GY,83.35,scattered clouds,6.4,-57.6,TE'AMO Entertainment Park
8,Indiaroba,BR,88.36,broken clouds,-11.5192,-37.5117,Pura Vida Bahia
15,Ternate,ID,80.31,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
16,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
17,Meulaboh,ID,79.52,overcast clouds,4.1363,96.1285,Kost Pria
19,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
22,San Juan,AR,89.65,clear sky,-31.5375,-68.5364,Hotel Provincial
24,East London,ZA,77.83,scattered clouds,-33.0153,27.9116,Tu Casa
27,Atuona,PF,77.16,clear sky,-9.8,-139.0333,Villa Enata
29,Pisco,PE,75.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
30,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Sao Joao Da Barra,BR,89.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
39,Dingle,PH,76.6,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
44,Koboko,UG,79.56,scattered clouds,3.4136,30.9599,Hotel Diplomat
46,Sola,VU,80.01,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
47,Sibolga,ID,76.59,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
51,Grand Gaube,MU,81.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
53,Djibo,BF,89.35,clear sky,14.1022,-1.6306,Centre Des Ressources DPENA
57,Mahebourg,MU,81.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
58,Hithadhoo,MV,82.33,overcast clouds,-0.6,73.0833,Scoop Guest House
59,Bambous Virieux,MU,81.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
61,Novo Cruzeiro,BR,85.41,overcast clouds,-17.4681,-41.8753,Hotel Nossa Senhora das Graças
63,Tabou,CI,85.06,broken clouds,4.423,-7.3528,hotêl doufoulougou
64,Singaraja,ID,79.65,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
69,Arraial Do Cabo,BR,82.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
74,Chuy,UY,78.55,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
75,Banjarmasin,ID,78.94,moderate rain,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
78,Rikitea,PF,76.15,broken clouds,-23.1203,-134.9692,People ThankYou
88,Kaset Sombun,TH,82.44,clear sky,16.2805,101.9542,BoonTewa Hotel
94,Butaritari,KI,81.72,light rain,3.0707,172.7902,Isles Sunset Lodge
96,Kruisfontein,ZA,78.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
99,Vaini,TO,80.49,overcast clouds,-21.2,-175.2,Keleti Beach Resort
102,Mabaruma,GY,86.92,few clouds,8.2,-59.7833,Monty Brooms Guest House
109,Fomboni,KM,82.76,scattered clouds,-12.28,43.7425,Auberge les abou
110,Palauig,PH,77.38,clear sky,15.435,119.9045,Alperi Botique Resort
111,Bredasdorp,ZA,80.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
121,Mar Del Plata,AR,86.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
124,Tutoia,BR,89.58,light rain,-2.7619,-42.2744,Pousada Guará's
131,Souillac,MU,81.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
135,Buala,SB,79.88,light rain,-8.145,159.5921,Maringe Lagoon Lodge
137,Quatre Cocos,MU,81.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
149,Port Elizabeth,ZA,81.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
156,Dakoro,NE,81.46,clear sky,14.5106,6.765,Shagon mai liverpool
169,Inhambane,MZ,79.18,broken clouds,-23.865,35.3833,Oceano
170,Daru,PG,76.12,overcast clouds,-9.0763,143.2092,Daru Lodge
172,San Luis,AR,89.83,clear sky,-33.295,-66.3356,Huarpes Hotel
173,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
174,Champerico,GT,88.36,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
178,Camocim,BR,76.12,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
182,Banda Aceh,ID,77.85,scattered clouds,5.5577,95.3222,Sulthan Hotel International
183,Port Alfred,ZA,77.81,overcast clouds,-33.5906,26.891,The Halyards Hotel
188,Bengkulu,ID,76.66,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
