City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Yellowknife,62.456,-114.3525,-7.58,95,100,6.91,CA,light snow
1,Alyangula,-13.8483,136.4192,80.47,89,75,9.22,AU,broken clouds
2,Kodiak,57.79,-152.4072,26.11,68,40,14.97,US,scattered clouds
3,Nikolskoye,59.7035,30.7861,27.39,95,100,6.73,RU,light snow
4,Punta Arenas,-53.15,-70.9167,53.71,40,40,28.77,CL,scattered clouds
5,Albany,42.6001,-73.9662,21.74,38,13,1.99,US,few clouds
6,Iquique,-20.2208,-70.1431,73.44,69,2,2.06,CL,clear sky
7,Cherskiy,68.75,161.3,-26.73,98,99,1.45,RU,overcast clouds
8,Jamestown,42.097,-79.2353,21.02,51,100,4.0,US,overcast clouds
9,Snezhnogorsk,69.1933,33.2531,1.4,99,66,8.86,RU,broken clouds
10,San Patricio,28.017,-97.5169,72.32,50,28,11.65,US,scattered clouds
11,Tuatapere,-46.1333,167.6833,63.82,74,12,0.63,NZ,few clouds
12,Les Cayes,18.2,-73.75,80.71,64,77,1.19,HT,broken clouds
13,Prainha,-1.8,-53.48,80.51,78,63,4.16,BR,light rain
14,Yavatmal,20.4,78.1333,63.21,25,0,3.85,IN,clear sky
15,Hobart,-42.8794,147.3294,59.11,90,75,5.75,AU,broken clouds
16,Kailua,21.4022,-157.7394,79.14,66,40,12.66,US,scattered clouds
17,Orocue,4.7912,-71.3354,95.13,27,70,13.31,CO,broken clouds
18,Csurgo,46.2531,17.1006,40.62,44,0,15.23,HU,clear sky
19,Khatanga,71.9667,102.5,-6.81,98,99,9.93,RU,overcast clouds
20,Hilo,19.7297,-155.09,78.53,50,20,5.75,US,few clouds
21,Carnarvon,-24.8667,113.6333,78.87,78,75,18.41,AU,broken clouds
22,Kalabo,-14.97,22.6814,64.47,95,67,5.41,ZM,broken clouds
23,Victoria,22.2855,114.1577,59.32,76,82,1.01,HK,broken clouds
24,Evensk,61.95,159.2333,20.21,73,100,26.71,RU,overcast clouds
25,Hithadhoo,-0.6,73.0833,81.61,70,81,9.04,MV,broken clouds
26,Haines Junction,60.7522,-137.5108,10.35,61,98,11.5,CA,overcast clouds
27,Vaitape,-16.5167,-151.75,80.22,73,11,7.45,PF,few clouds
28,Porto Belo,-27.1578,-48.5531,75.79,67,94,9.95,BR,overcast clouds
29,Liwale,-9.7667,37.9333,68.74,97,100,0.78,TZ,overcast clouds
30,Port Alfred,-33.5906,26.891,74.1,88,96,18.9,ZA,overcast clouds
31,Severo-Kurilsk,50.6789,156.125,27.55,94,100,12.75,RU,snow
32,Plettenberg Bay,-34.0527,23.3716,69.49,94,84,2.84,ZA,broken clouds
33,Villa Maria,-32.4075,-63.2402,92.82,39,0,8.37,AR,clear sky
34,Upernavik,72.7868,-56.1549,-2.63,70,100,9.42,GL,overcast clouds
35,Rikitea,-23.1203,-134.9692,76.33,69,100,4.56,PF,overcast clouds
36,Talnakh,69.4865,88.3972,-13.88,96,83,8.9,RU,broken clouds
37,Tiksi,71.6872,128.8694,-18.0,100,95,4.45,RU,overcast clouds
38,Panaba,21.2833,-88.2667,71.83,48,92,9.55,MX,overcast clouds
39,Zwedru,6.0667,-8.1281,77.79,29,100,1.45,LR,overcast clouds
40,Richards Bay,-28.783,32.0377,71.46,86,98,6.29,ZA,overcast clouds
41,Cidreira,-30.1811,-50.2056,74.97,68,7,17.45,BR,clear sky
42,Kavaratti,10.5669,72.642,81.28,73,15,8.79,IN,few clouds
43,Portland,45.5234,-122.6762,53.1,70,75,1.99,US,broken clouds
44,Busselton,-33.65,115.3333,63.09,65,87,17.78,AU,overcast clouds
45,Georgetown,5.4112,100.3354,81.9,89,20,0.0,MY,few clouds
46,Korla,41.7597,86.1469,24.19,57,100,4.25,CN,overcast clouds
47,Qaanaaq,77.484,-69.3632,-7.91,67,100,6.64,GL,overcast clouds
48,Xai-Xai,-25.0519,33.6442,75.52,80,85,7.52,MZ,overcast clouds
49,Mackay,-21.15,149.2,78.78,89,75,12.66,AU,broken clouds
50,Bluff,-46.6,168.3333,63.81,87,96,4.9,NZ,overcast clouds
51,Vaini,-21.2,-175.2,79.81,78,100,12.06,TO,light rain
52,Dikson,73.5069,80.5464,-2.78,93,100,20.98,RU,overcast clouds
